Date/Time, 2021-03-22_22:59
50,49.99
10,48.97
40,45.69
10,39.50
50,50.87
20,45.64
40,52.79
20,43.51
30,52.63
30,54.74
10,25.46
40,50.58
30,54.18
20,44.25
20,47.33
10,37.30
50,56.80
40,49.08
30,54.39
50,55.28
10,32.96
40,56.09
30,55.06
20,50.27
10,25.98
50,49.49
20,41.08
40,45.65
30,51.69
50,49.28
30,45.07
20,50.01
10,39.74
50,53.04
30,43.27
20,51.46
40,54.18
10,37.16
50,52.74
40,57.87
10,20.61
20,39.99
40,59.28
30,46.31
40,53.75
30,51.86
20,50.71
50,51.48
10,45.43
50,38.79
10,21.03
20,49.27
30,50.94
50,55.10
20,43.77
40,49.97
10,33.18
40,53.17
30,50.55
50,52.49
10,39.75
20,52.91
30,50.37
40,52.01
20,53.94
50,56.11
40,50.96
30,53.03
10,38.44
50,54.87
10,43.09
30,51.93
20,50.07
10,31.70
40,47.11
30,55.02
20,44.56
40,55.10
50,49.56
50,41.59
20,54.74
10,37.45
30,48.10
40,55.05
50,55.51
20,49.66
30,50.81
10,38.03
40,53.16
50,53.54
10,34.29
20,30.44
30,55.00
50,50.35
40,43.92
10,41.95
20,40.92
30,46.48
40,56.75
10,37.93
50,42.98
30,46.66
20,46.51
40,55.65
50,52.18
10,47.32
30,36.62
20,45.89
40,54.42
50,53.69
20,52.15
10,43.68
40,51.04
50,45.85
30,52.57
20,51.99
30,45.93
10,27.19
40,56.86
30,45.18
20,33.55
50,54.38
10,31.29
40,49.95
50,54.66
10,36.30
20,44.35
30,56.33
20,54.86
30,40.61
50,46.31
40,46.76
40,45.10
10,38.86
50,55.55
20,47.49
10,43.45
30,41.83
40,54.79
50,53.54
40,55.04
10,31.84
30,47.08
20,44.20
50,54.34
10,34.44
20,48.25
30,41.32
10,33.96
50,55.79
40,50.67
20,53.13
30,39.20
40,56.85
50,54.10
20,50.86
10,48.64
30,47.35
40,54.25
50,57.70
40,47.43
30,54.34
20,40.23
50,49.76
10,37.14
10,31.04
30,50.50
40,47.38
20,34.79
50,47.19
10,32.70
40,55.80
30,41.80
20,47.03
50,52.95
20,41.38
10,36.03
40,52.61
50,48.83
30,44.02
10,49.52
40,48.25
20,51.02
30,56.62
10,47.27
50,46.11
20,38.89
30,47.72
40,50.93
10,33.83
50,56.64
20,52.23
30,48.06
50,57.38
40,52.64
10,45.47
20,48.82
30,49.68
40,50.77
50,49.29
20,41.58
30,46.05
10,39.27
40,48.13
50,54.74
30,52.01
40,50.13
20,33.14
10,33.50
50,53.53
10,28.56
20,50.84
40,51.42
20,46.24
30,50.75
10,35.10
50,45.78
30,54.94
40,52.13
10,46.75
50,50.20
20,40.48
30,55.57
10,34.85
20,43.53
40,51.11
50,51.72
30,43.25
40,53.65
10,39.03
50,51.53
30,57.78
20,45.70
40,52.91
10,37.39
50,47.91
20,50.09
30,49.28
40,47.92
10,45.10
50,47.48
20,34.04
30,51.17
40,56.89
50,56.05
10,30.05
20,49.13
30,48.34
40,51.84
50,54.15
20,56.14
10,42.78
30,55.51
40,56.51
10,46.75
50,40.22
30,49.22
40,49.70
20,31.28
10,34.22
50,49.67
20,48.74
30,39.55
50,49.78
40,53.67
10,38.17
20,41.00
30,52.48
40,48.58
50,54.94
10,39.90
20,55.81
10,39.89
30,53.15
40,52.98
50,52.80
30,50.95
40,51.05
20,34.92
10,41.43
50,50.24
20,43.38
30,48.39
50,55.25
40,52.73
30,49.99
10,30.47
20,46.44
50,52.98
40,44.69
10,44.94
30,52.43
20,45.43
40,48.26
10,47.05
50,43.75
20,41.54
30,43.41
40,53.96
10,42.48
50,55.38
20,52.54
40,49.47
30,47.34
50,55.26
20,53.01
10,38.97
30,51.44
40,51.49
10,37.32
20,41.55
50,56.18
30,52.26
40,56.47
50,54.04
20,49.02
10,27.79
30,54.17
40,52.06
50,49.36
30,48.34
10,44.04
20,44.09
50,50.13
40,51.23
20,53.59
10,29.10
30,46.60
40,50.69
10,26.55
50,54.61
20,46.32
30,47.84
10,36.29
40,49.74
50,49.48
20,48.69
40,51.29
30,49.07
50,49.84
10,30.72
30,48.51
20,41.00
40,57.95
50,56.09
10,47.43
20,41.97
30,38.09
40,52.59
50,52.90
10,34.68
20,44.49
30,49.89
50,52.46
40,52.16
10,38.05
20,36.75
30,53.53
40,51.39
50,41.58
20,47.78
10,31.20
30,52.35
40,46.67
10,37.37
50,53.33
30,49.60
20,50.04
40,56.32
10,39.28
50,50.60
20,47.76
30,43.66
40,47.13
20,49.55
50,54.63
10,35.87
30,49.26
40,42.64
50,44.51
10,34.96
20,53.47
30,56.78
50,53.15
40,52.30
10,37.14
40,50.79
20,39.35
30,51.73
10,31.19
50,52.98
20,46.36
40,47.59
50,51.67
30,45.67
20,43.41
50,48.50
30,50.29
10,37.22
40,43.01
10,43.43
40,55.41
30,43.41
20,49.95
50,54.09
20,39.69
50,53.69
30,46.75
10,44.74
40,49.69
30,52.75
20,42.28
40,47.70
10,39.36
50,57.03
20,45.06
10,40.64
30,52.27
40,56.18
20,47.60
50,54.32
30,44.77
10,25.81
10,44.14
40,38.48
20,45.39
50,52.54
50,51.88
30,47.42
40,54.59
10,43.00
20,45.79
40,52.73
30,53.58
50,55.76
10,37.06
20,47.52
30,34.72
40,52.21
50,53.41
30,39.83
10,36.45
20,34.89
40,52.79
50,53.32
10,41.82
20,46.50
30,51.04
40,52.45
10,36.50
30,51.24
50,56.25
20,43.50
40,49.71
10,38.23
50,50.15
20,34.28
30,47.48
40,49.39
10,54.27
50,49.71
20,34.31
30,49.80
50,54.13
40,49.69
10,44.20
20,43.07
50,50.03
30,51.53
20,55.44
40,52.51
40,47.79
10,36.26
30,45.58
50,55.38
10,55.78
20,41.57
30,45.91
40,51.17
50,57.86
20,44.34
10,31.51
40,46.02
30,41.14
20,50.71
50,45.21
10,39.14
50,55.98
30,53.44
40,55.75
10,38.11
30,48.17
20,45.72
50,51.22
40,55.64
10,43.70
20,29.92
50,48.93
40,47.79
30,45.32
