Date/Time, 2020-07-16_15:23
10,35.42
30,37.57
10,27.23
20,33.96
50,42.04
30,39.94
40,37.75
20,36.27
40,38.72
10,38.56
50,39.86
20,35.95
30,42.74
40,37.04
40,40.15
30,42.07
10,32.32
50,46.35
20,32.29
30,40.14
40,42.40
50,40.73
20,37.83
10,33.06
10,23.35
50,41.51
10,24.34
50,41.78
20,30.14
30,37.42
40,38.57
10,31.72
50,37.06
20,42.93
40,40.09
30,37.85
20,33.35
30,39.03
20,33.94
30,37.85
40,42.27
10,25.03
50,39.72
20,28.84
30,36.22
40,45.06
50,43.27
10,39.07
50,38.11
40,40.35
40,35.71
50,39.09
10,25.58
30,36.17
20,38.30
40,35.53
50,43.06
10,29.36
20,34.77
30,34.22
10,30.81
20,38.83
20,39.61
10,37.38
30,36.66
40,35.53
50,42.29
20,31.57
10,32.24
30,38.25
50,39.06
40,39.24
30,33.55
40,38.70
30,35.69
40,42.59
50,35.97
10,29.80
30,40.55
20,37.22
40,36.46
50,34.30
10,30.67
20,39.23
50,45.51
10,34.59
50,43.91
10,35.22
20,33.30
30,38.68
50,40.58
40,35.69
10,33.52
20,28.42
30,39.36
40,38.59
20,35.12
30,35.69
20,31.50
30,30.97
40,42.17
50,40.18
40,39.31
50,41.97
10,29.30
30,38.56
20,35.92
40,40.46
10,36.33
50,37.87
30,37.65
40,40.47
10,27.06
20,27.90
10,34.71
20,35.74
50,37.93
10,27.56
20,35.85
30,35.23
40,41.54
50,43.10
30,38.45
40,40.37
30,34.95
40,35.90
50,34.22
10,32.70
20,31.95
40,35.84
30,39.00
50,40.37
10,31.28
20,36.41
50,41.00
10,27.47
50,42.64
10,24.80
20,37.48
40,39.47
30,32.88
50,41.08
10,23.14
20,31.58
30,39.11
40,43.38
20,33.23
30,33.18
20,39.78
30,36.17
40,42.01
10,29.56
50,41.99
30,33.96
20,35.55
40,41.82
50,40.49
10,37.01
40,36.17
50,44.29
40,39.29
50,39.17
10,32.21
20,29.10
30,36.81
50,41.36
40,35.10
10,27.43
20,27.76
30,36.94
20,37.92
10,24.74
10,39.38
20,38.14
30,35.44
40,40.33
50,42.01
10,27.15
20,30.69
30,38.36
40,39.81
50,39.69
30,39.95
40,36.97
30,35.05
40,40.65
50,38.98
10,34.42
20,29.85
40,37.30
30,32.37
50,39.68
10,27.70
20,41.19
50,44.70
10,32.59
50,40.81
10,31.40
20,36.38
30,41.71
40,41.77
50,40.78
20,38.64
10,23.94
40,37.69
30,36.51
20,27.67
30,35.89
20,37.00
30,39.80
40,39.61
50,40.56
10,26.44
30,43.23
20,35.93
40,38.20
40,39.40
10,29.19
50,40.14
50,38.60
10,28.87
50,41.02
10,38.21
10,32.47
20,34.77
30,42.18
40,40.84
20,32.22
50,41.60
20,38.97
30,36.74
40,41.34
40,39.54
30,35.45
30,42.63
30,37.27
50,37.64
40,38.61
10,27.78
20,35.68
40,39.37
50,36.32
10,33.23
20,28.57
10,32.46
30,38.07
50,36.32
50,41.66
10,36.59
20,32.09
40,38.01
50,42.16
10,39.68
20,41.86
30,42.95
40,42.60
20,29.77
40,40.13
20,35.73
30,35.06
30,42.35
50,38.54
10,28.32
30,33.71
20,38.04
40,36.69
50,35.40
10,30.03
40,40.04
50,39.20
40,36.82
50,37.78
10,33.18
20,38.41
30,41.08
50,42.26
40,39.53
10,30.73
20,30.80
30,37.67
10,37.46
20,34.31
10,35.13
20,35.85
30,36.31
40,41.83
50,41.72
10,27.75
30,35.04
20,39.89
40,36.57
50,39.84
30,37.16
40,34.02
30,33.20
40,41.09
50,36.84
10,37.53
20,37.68
30,36.56
40,40.33
50,40.76
10,36.83
20,41.35
50,41.13
10,32.95
50,41.96
10,29.98
