Date/Time, 2020-07-16_18:21
10,52.34
20,48.17
10,30.80
30,52.57
10,40.90
50,51.77
40,53.71
20,47.70
30,53.72
20,48.95
40,52.10
50,52.19
30,55.31
30,52.68
30,53.37
20,54.06
20,47.33
10,42.20
10,46.23
50,53.36
40,48.74
50,57.34
40,52.24
40,52.85
50,58.52
30,50.84
10,33.14
20,56.27
30,49.55
20,38.26
40,52.90
10,39.26
10,45.16
30,50.66
40,55.97
50,51.05
40,58.75
50,54.77
20,44.77
20,42.13
40,54.77
10,28.60
50,54.61
20,47.81
50,57.70
50,49.62
30,49.12
40,55.70
10,48.64
40,50.72
30,50.15
10,38.68
20,48.84
50,51.11
10,30.53
50,57.62
20,53.64
20,51.17
30,45.81
30,49.38
20,44.59
30,49.57
40,48.34
10,42.68
40,50.74
50,53.22
10,45.80
50,49.02
10,38.63
40,53.92
30,52.93
40,50.20
50,49.35
20,51.73
30,48.87
20,49.87
40,51.33
10,37.82
10,44.12
30,52.51
50,47.69
10,38.15
30,46.05
20,49.28
50,52.42
40,47.77
40,54.51
50,57.51
30,50.80
10,47.60
50,54.25
20,49.58
10,38.80
20,43.95
50,49.53
40,49.81
20,34.53
40,56.73
30,51.65
10,37.67
30,46.99
20,45.41
50,48.04
50,54.52
10,46.20
30,48.79
30,52.30
40,54.56
40,54.32
30,43.58
40,57.53
20,39.92
10,46.29
20,51.40
10,33.70
40,56.42
50,52.89
30,46.98
50,49.74
20,46.03
20,34.27
50,57.86
10,37.63
10,35.42
30,49.54
40,54.05
40,49.85
30,45.98
20,44.12
20,51.49
30,52.03
50,52.91
50,54.29
30,45.02
50,54.46
40,45.78
20,46.52
10,38.20
40,54.82
50,57.06
10,35.42
40,57.18
10,33.54
20,43.39
30,48.82
20,43.80
20,49.13
50,55.50
10,30.46
40,51.98
30,49.83
10,38.79
20,50.73
30,44.32
30,46.81
40,53.59
50,51.73
50,58.58
10,43.81
10,44.30
30,49.25
50,54.39
40,49.51
10,35.78
20,38.73
10,29.57
40,48.06
20,47.54
20,42.79
50,52.49
40,51.82
10,37.46
30,49.95
30,51.02
50,55.55
20,48.30
20,39.27
40,54.99
40,53.45
30,47.58
10,48.18
10,44.96
40,53.55
50,53.46
50,51.22
30,47.21
20,53.09
30,52.01
20,41.67
40,53.31
20,48.53
50,56.29
10,40.08
10,37.74
40,53.55
10,38.32
