Date/Time, 2020-07-16_18:29
20,58.53
40,60.60
10,42.41
10,52.96
30,55.22
50,59.37
40,56.76
30,52.19
20,50.47
50,54.42
10,41.05
20,50.72
10,47.60
30,60.55
20,54.13
20,55.67
40,49.80
30,52.55
10,46.17
50,59.69
50,63.32
40,58.44
30,56.43
50,60.36
20,60.75
40,57.87
40,59.66
10,35.10
30,49.00
20,43.39
40,58.95
50,55.63
10,46.96
30,51.92
50,58.26
20,47.16
10,36.80
30,55.34
40,58.92
10,27.85
50,55.59
20,35.55
30,47.73
10,48.21
20,51.25
40,59.57
50,61.80
50,55.90
40,55.82
30,49.92
40,56.17
30,49.36
10,32.19
20,50.36
50,60.49
10,41.44
30,52.69
50,56.48
20,50.19
40,47.59
20,59.02
10,40.18
30,57.91
40,56.36
30,49.03
50,59.60
20,50.53
10,34.55
40,59.11
40,53.49
30,49.87
50,59.31
20,54.90
10,48.93
50,56.65
10,34.35
20,55.90
50,52.79
10,39.82
30,59.74
40,52.54
20,56.76
40,55.76
10,44.51
30,54.98
50,61.92
30,53.88
40,55.61
20,56.20
50,59.53
40,53.18
10,40.57
20,35.11
10,50.11
30,57.15
50,57.46
50,57.13
20,44.69
30,46.67
10,38.56
40,61.90
20,49.22
30,56.00
20,44.30
40,59.42
10,41.28
10,45.49
50,52.05
40,58.07
50,64.04
30,48.85
50,58.03
10,31.24
20,56.46
30,54.95
40,60.12
20,34.44
20,51.70
30,55.30
40,57.19
50,60.63
30,51.83
10,35.66
20,45.30
40,58.23
20,50.42
50,58.46
10,36.28
40,50.65
30,55.66
50,59.20
10,40.29
30,50.13
10,36.97
40,53.97
30,51.39
50,56.39
20,51.69
40,57.26
20,49.81
40,62.10
50,60.73
10,40.76
30,51.83
10,29.15
50,57.42
40,60.75
50,56.76
20,44.07
30,50.65
20,56.19
10,40.03
30,50.64
40,57.39
50,55.23
40,60.07
10,50.96
30,54.63
20,56.00
40,51.92
50,58.92
10,41.75
20,46.61
30,53.72
30,57.77
10,37.74
50,60.25
50,59.51
20,44.82
40,55.42
40,56.41
10,24.53
20,40.96
20,43.37
30,53.79
50,61.24
10,53.20
10,33.45
30,53.10
40,57.79
50,55.20
30,61.80
20,49.64
20,44.72
40,49.41
50,49.42
10,43.83
50,61.32
10,33.32
40,59.22
40,56.20
30,44.59
20,60.87
30,54.06
30,57.41
50,63.07
10,40.22
10,43.61
20,53.89
50,56.59
40,60.74
50,50.83
20,51.21
30,56.32
40,58.38
20,38.06
40,59.81
30,56.88
10,40.37
10,41.87
50,54.44
40,54.31
20,53.52
30,53.57
30,59.04
50,58.76
20,51.02
10,33.33
40,56.06
20,51.33
50,59.25
50,55.88
10,51.76
40,61.20
30,55.61
50,61.86
10,35.55
10,43.20
20,52.06
40,58.68
30,47.00
10,32.95
20,45.50
30,47.20
30,58.72
40,57.18
50,54.61
20,56.01
20,36.69
40,56.26
40,54.02
50,53.08
10,44.39
30,56.07
50,56.41
40,52.71
20,44.98
10,39.42
50,59.53
30,54.92
10,42.87
10,44.65
20,54.53
30,57.08
40,59.50
10,33.65
40,58.10
50,56.86
30,53.39
20,35.63
50,54.40
20,53.19
10,37.99
30,43.22
20,55.53
40,55.04
50,56.65
30,52.00
30,56.15
40,60.77
50,62.52
20,59.52
50,59.01
10,45.94
10,41.51
40,56.63
20,51.51
20,40.09
50,62.15
30,60.95
40,53.07
50,56.29
10,44.11
30,57.16
40,59.90
20,50.18
40,46.39
10,43.88
30,51.54
50,62.74
10,49.31
20,48.56
10,50.70
20,46.89
30,60.40
40,51.59
50,47.85
30,54.02
10,50.55
20,53.00
40,57.36
50,61.08
40,59.05
40,58.30
30,41.84
50,57.80
50,51.57
20,58.04
10,39.27
30,53.20
10,44.13
20,53.89
20,48.67
30,50.61
40,62.60
10,45.16
10,37.40
50,58.48
40,55.06
30,60.54
50,55.62
20,49.95
20,55.26
10,33.39
30,54.49
40,62.40
50,60.47
30,47.57
30,57.45
40,58.14
40,59.01
50,53.74
10,34.63
20,57.49
40,54.61
50,55.01
50,59.79
20,48.20
10,46.15
30,57.65
10,43.33
20,42.66
10,46.17
30,52.21
30,49.76
40,56.52
50,62.34
20,46.13
30,53.56
40,52.90
50,57.53
50,58.13
10,40.92
20,52.26
40,51.48
20,48.05
40,59.20
10,48.75
30,56.87
50,58.31
40,57.58
10,28.63
20,54.49
30,57.09
10,36.24
50,56.72
50,58.28
20,48.56
10,47.77
30,46.73
40,58.50
50,54.24
20,58.06
30,49.32
40,58.33
40,50.51
10,35.49
20,58.69
30,54.66
20,59.05
50,53.02
10,39.93
10,41.19
30,59.78
50,60.59
50,56.25
40,59.40
20,50.69
40,53.04
20,52.32
30,52.59
10,37.41
40,58.64
50,51.41
30,48.36
40,51.22
50,61.95
10,42.43
20,46.95
30,56.23
10,53.38
30,54.64
40,61.32
20,54.87
50,56.76
10,52.57
20,56.37
30,57.72
20,46.81
40,52.42
30,45.09
50,61.79
40,48.46
10,44.60
10,51.85
50,57.51
