Date/Time, 2020-07-20_11:33
10,38.14
40,46.07
40,47.86
50,48.66
50,46.71
20,43.08
30,46.90
10,45.09
30,46.83
20,42.13
10,29.70
20,40.43
50,54.68
40,44.05
10,39.80
20,41.62
50,49.76
30,51.39
30,47.93
40,51.05
10,39.26
30,49.97
20,45.84
30,45.73
50,49.80
40,49.18
20,35.67
10,30.34
50,45.81
40,47.59
10,38.00
20,40.37
30,45.18
20,50.97
40,49.53
40,52.33
30,46.45
10,28.19
50,50.04
50,48.84
10,27.59
20,33.73
30,43.61
50,52.44
40,54.67
40,49.92
20,40.62
30,45.15
10,45.23
50,45.05
20,43.23
10,26.88
50,52.37
10,35.25
30,43.87
40,44.89
20,41.66
30,41.92
40,43.81
50,46.72
20,48.20
10,37.43
40,43.79
50,50.66
30,44.90
10,36.45
30,47.43
20,40.59
40,49.14
50,48.79
10,42.73
20,47.70
30,42.94
30,47.95
50,44.73
40,46.32
20,44.17
10,34.16
40,44.95
10,34.89
50,43.84
20,45.51
50,53.34
10,39.21
20,42.63
30,43.71
40,51.73
30,47.26
50,49.04
40,44.41
10,37.93
20,31.95
40,46.88
30,48.36
50,51.02
10,41.40
30,42.51
20,39.71
40,51.06
10,32.47
50,47.82
20,41.81
40,50.34
30,46.10
50,44.16
20,37.67
10,40.62
30,38.00
50,50.28
40,48.09
10,40.52
30,46.90
20,44.02
40,49.65
50,46.81
10,31.82
20,43.83
30,41.78
50,52.98
10,30.18
40,50.52
20,33.42
30,45.07
10,35.61
40,47.65
20,39.04
50,42.90
30,48.05
10,36.15
40,43.50
50,48.48
20,41.74
30,41.51
40,43.47
50,49.69
10,33.81
20,45.55
30,42.25
40,49.84
10,27.83
50,51.37
30,45.74
20,38.76
40,51.58
50,51.95
10,28.96
20,40.23
30,42.00
10,34.74
50,50.96
40,48.23
30,40.75
20,44.59
20,44.84
40,50.33
50,47.43
10,42.04
30,43.85
50,53.47
40,45.00
10,37.32
20,35.58
30,46.09
40,43.10
50,50.68
20,33.96
10,30.35
30,44.75
40,47.23
10,29.26
50,47.52
30,44.24
20,43.42
40,48.99
50,51.24
10,33.23
20,36.39
30,46.92
40,48.95
20,44.90
50,47.12
10,44.92
