Date/Time, 2020-07-17_10:46
10,51.38
10,40.75
40,49.50
50,53.42
30,53.02
20,47.54
30,51.19
50,55.59
20,43.97
40,52.94
10,38.88
20,46.13
10,39.81
20,46.39
40,53.52
30,52.36
20,47.65
40,60.29
30,59.91
50,53.98
10,36.52
50,60.45
30,53.09
40,58.71
50,59.67
10,22.76
20,44.98
10,43.11
30,50.44
40,54.88
50,46.36
30,48.77
20,58.00
40,57.36
20,35.97
40,54.66
10,35.66
10,20.80
40,53.62
20,46.51
50,59.14
30,46.37
50,53.40
30,42.60
50,61.57
10,44.94
50,54.39
10,44.22
20,47.15
30,50.75
50,55.76
10,24.57
20,47.18
40,43.94
30,42.69
40,50.78
20,49.85
30,45.24
40,52.29
20,61.23
30,47.20
10,38.14
50,54.79
50,57.48
10,28.33
40,53.37
20,45.48
30,53.99
20,49.50
30,56.77
30,51.31
50,54.65
40,57.33
20,55.84
10,45.36
40,50.43
50,56.62
10,28.71
40,50.53
50,49.66
50,57.42
40,53.94
20,60.27
10,34.84
40,59.11
30,48.62
30,49.24
10,47.29
50,58.19
20,45.00
10,43.23
20,33.17
40,48.77
30,56.73
50,53.81
20,41.13
50,55.93
10,44.11
30,47.51
40,57.39
20,36.73
10,27.32
20,51.22
10,41.91
40,53.02
30,57.94
50,45.39
10,42.82
40,56.86
20,45.46
30,33.69
50,59.10
30,43.10
40,54.07
30,48.18
50,55.16
40,54.08
10,29.51
40,55.88
50,58.26
30,53.78
20,54.53
10,33.15
20,30.63
50,50.08
20,39.94
10,37.63
30,56.89
40,46.15
50,50.80
10,44.06
20,46.23
40,53.87
30,45.76
50,50.66
10,38.16
50,56.29
10,21.71
20,50.90
30,51.20
40,55.28
10,27.38
50,61.08
20,46.93
30,48.55
40,58.46
20,52.80
30,44.60
40,57.22
50,51.66
40,59.91
50,54.30
10,30.35
20,54.60
30,51.06
10,42.43
20,56.83
30,44.65
40,53.93
50,59.00
10,31.63
30,54.00
40,52.01
20,43.62
50,52.59
10,33.61
40,53.56
50,51.40
20,39.33
30,50.74
20,43.30
30,49.74
30,43.15
10,23.36
50,56.16
40,50.89
20,42.55
