Date/Time, 2020-07-16_15:51
20,31.19
30,38.04
20,26.62
40,44.44
50,39.00
10,26.81
10,15.52
50,43.97
30,35.45
40,37.54
40,32.52
30,37.08
20,26.59
10,22.24
10,13.89
30,32.50
20,21.72
50,51.88
40,46.77
50,51.23
10,15.66
50,40.51
20,19.22
10,10.38
40,41.24
20,22.98
30,43.90
30,21.36
40,44.10
50,45.41
50,44.08
20,24.68
30,38.77
10,21.15
40,35.13
20,33.70
10,11.37
30,26.57
40,39.95
50,45.09
20,12.77
40,37.65
10,19.78
30,23.45
10,25.94
50,52.57
40,40.26
30,35.24
20,29.71
50,41.40
20,21.84
10,18.51
30,29.20
40,35.98
20,12.61
30,25.23
50,51.63
10,10.29
40,43.44
50,31.85
10,19.08
40,37.33
30,41.65
20,21.09
50,39.94
10,15.16
30,38.30
20,20.04
50,48.52
40,35.95
40,41.06
30,17.96
10,10.38
20,33.47
30,40.05
50,43.79
10,14.75
40,38.45
50,32.68
20,21.47
20,29.35
10,11.75
30,34.98
40,31.37
20,13.73
10,22.05
30,39.63
50,53.59
50,33.91
40,36.73
10,13.08
20,26.48
30,34.18
40,41.55
50,41.28
40,23.08
10,19.82
20,31.94
30,19.46
50,34.55
10,22.21
20,16.05
30,38.33
10,19.03
40,45.30
50,40.01
40,33.79
30,35.79
20,34.21
50,47.98
20,26.42
10,13.03
30,33.39
50,43.66
40,43.90
20,19.87
40,50.55
30,29.59
10,15.74
50,51.93
10,18.38
30,29.00
20,35.89
50,30.21
40,38.54
10,25.64
20,17.95
30,35.66
40,43.53
50,40.11
10,19.25
20,22.40
40,35.58
30,22.00
50,50.91
20,29.20
10,17.23
30,34.42
40,44.66
50,49.53
10,12.30
30,34.63
20,18.41
20,20.02
10,10.43
40,45.85
30,36.43
50,47.86
40,38.49
50,42.62
20,32.42
30,34.63
10,11.70
50,48.24
40,44.49
10,19.64
20,34.62
30,32.12
40,28.92
50,45.19
20,28.57
10,14.85
40,27.97
20,14.22
50,41.69
30,31.63
10,10.76
30,37.48
40,38.72
50,44.07
20,32.40
10,11.07
30,26.12
50,44.61
40,43.83
10,10.71
20,24.31
30,33.41
40,44.69
50,40.57
10,21.45
20,28.68
30,45.84
50,35.01
40,39.14
10,14.29
20,19.27
30,22.83
40,21.67
50,50.16
10,18.92
20,33.91
40,43.16
30,33.92
50,51.50
10,19.17
30,40.59
20,30.82
40,38.66
50,45.10
20,21.73
30,29.37
40,35.95
10,10.30
50,46.30
30,36.57
20,18.15
10,13.91
40,40.58
50,48.78
20,34.08
10,11.11
40,36.97
30,44.72
50,40.07
10,10.72
20,23.68
30,24.78
40,38.04
50,45.88
10,11.06
50,39.23
20,14.13
30,41.85
40,41.20
20,31.54
30,23.18
10,10.46
50,41.94
40,42.33
20,31.07
10,10.64
30,32.85
40,49.11
50,35.95
10,19.28
20,29.96
30,30.98
40,40.63
50,42.29
10,10.66
30,26.38
20,23.62
40,30.06
50,47.43
20,19.21
10,14.67
30,37.04
40,37.54
50,52.11
10,16.42
30,31.05
20,22.80
40,41.83
50,34.48
10,26.05
20,23.21
30,42.29
40,44.36
50,34.14
30,38.09
20,35.08
10,17.81
50,41.41
40,37.73
10,11.22
20,22.34
30,33.09
40,41.11
50,48.81
20,27.78
10,13.37
40,45.06
50,44.71
30,34.06
10,27.17
30,18.03
20,21.89
40,33.39
50,42.89
40,43.59
10,11.18
20,37.74
50,43.99
30,37.06
10,11.47
20,24.64
30,26.51
40,46.57
50,49.10
40,36.09
10,17.25
30,21.50
20,14.11
10,23.44
50,43.90
20,34.39
40,43.50
30,25.87
50,47.94
10,25.79
20,28.26
30,29.00
40,41.98
50,48.25
20,34.83
10,15.99
40,40.55
30,20.82
50,46.24
10,14.02
30,29.49
20,27.80
40,45.51
50,49.70
10,21.31
20,37.81
40,39.48
30,33.78
50,34.62
10,22.34
20,36.09
30,27.10
40,35.72
50,53.19
10,14.91
20,18.28
30,35.37
40,35.08
50,49.81
10,19.88
20,34.85
30,49.36
40,46.14
50,36.64
10,12.25
30,40.69
20,14.20
40,28.24
50,44.75
20,27.36
30,29.14
10,13.58
40,36.01
50,44.64
10,17.23
20,16.40
30,37.07
50,43.90
40,28.82
20,29.54
10,14.34
40,30.39
30,27.78
50,39.69
10,19.07
20,26.40
30,16.82
40,43.58
50,48.95
30,44.40
10,13.11
20,31.13
40,33.08
50,40.96
10,13.20
20,21.12
40,20.41
30,43.10
50,50.16
10,22.12
20,23.33
30,34.01
40,35.85
50,44.83
20,32.99
10,11.48
50,44.86
30,41.11
40,38.62
20,35.16
10,9.93
40,36.39
30,43.89
50,34.20
10,10.36
20,30.59
50,45.11
30,32.04
40,52.55
20,33.81
30,43.72
10,12.53
50,42.20
40,35.56
20,30.18
10,29.28
30,33.17
40,31.24
50,44.12
10,19.56
30,37.04
20,28.77
40,32.26
50,40.39
20,25.62
30,25.25
10,16.20
40,50.22
50,49.97
20,14.07
10,12.01
30,41.81
40,41.31
50,51.14
10,12.23
20,27.92
30,39.52
50,47.93
40,38.77
10,20.65
20,28.90
40,36.86
30,39.87
50,30.16
10,28.83
20,25.03
30,38.16
40,43.43
50,42.29
10,13.68
20,27.95
40,47.56
30,31.56
50,51.08
10,12.76
20,25.41
50,45.38
30,32.42
40,42.93
10,10.35
30,33.35
20,16.22
40,26.61
50,49.97
10,13.09
20,35.42
30,31.15
40,43.01
50,44.59
10,25.04
20,27.60
30,25.10
40,42.36
50,38.58
20,33.56
10,26.50
40,32.35
30,19.34
50,41.58
10,18.96
50,43.24
30,43.73
20,26.62
40,30.95
20,30.91
10,21.63
30,35.29
40,37.08
50,42.98
10,24.15
30,32.98
20,24.17
40,41.61
50,43.55
10,11.45
20,36.82
30,37.80
40,48.65
50,37.35
10,10.77
30,37.94
40,36.45
20,22.74
50,41.57
10,26.69
20,30.79
30,28.67
40,42.22
50,50.99
10,17.82
20,34.78
30,31.93
40,43.91
50,45.44
20,12.42
10,19.77
30,30.16
40,44.39
50,45.22
